iter	Logloss
634	0.2214285731
635	0.2213314494
636	0.2212231847
637	0.2210769198
638	0.2209346091
639	0.2208097244
640	0.2207090895
641	0.2205875595
642	0.2204578961
643	0.2203015225
644	0.2202000377
645	0.2200984728
646	0.2199609573
647	0.2198049646
648	0.2196958205
649	0.2195678464
650	0.2194735791
651	0.2193583728
652	0.2192398636
653	0.2191582371
654	0.2190874077
655	0.2189906089
656	0.2188374758
657	0.2186499962
658	0.2185020791
659	0.2184037361
660	0.2182363245
661	0.2180424851
662	0.2179173029
663	0.217779792
664	0.2175965356
665	0.2174433474
666	0.2173487251
667	0.217219172
668	0.2170166013
669	0.2168979993
670	0.2167818588
671	0.2166689578
672	0.2165778688
673	0.2164988923
674	0.2163653629
675	0.2162842267
676	0.2161221098
677	0.2159376024
678	0.2158189474
679	0.2157028338
680	0.2155862791
681	0.2155090839
682	0.2153449721
683	0.2151124472
684	0.2150220119
685	0.2149332095
686	0.2148353564
687	0.2147823588
688	0.2146966162
689	0.2145237512
690	0.2144310059
691	0.2142650423
692	0.2140739381
693	0.2139686579
694	0.2137941544
695	0.2136526262
696	0.2135200823
697	0.2134008739
698	0.2133188228
699	0.2131583504
700	0.2130520166
701	0.2129306103
702	0.2128435285
703	0.2127610715
704	0.212681736
705	0.2125908423
706	0.2125005507
707	0.2123997795
708	0.2122266072
709	0.2120346769
710	0.2119292799
711	0.211798417
712	0.21169756
713	0.2115868398
714	0.2115076566
715	0.2113547257
716	0.2112587938
717	0.2111604226
718	0.2110154544
719	0.2108903064
720	0.2108022228
721	0.2106958249
722	0.2105576555
723	0.2103576346
724	0.2102005907
725	0.2100846265
726	0.2099490672
727	0.2098524943
728	0.2097278759
729	0.2096019275
730	0.2094735678
731	0.2092769268
732	0.2091304996
733	0.2090213658
734	0.2089174256
735	0.2088225493
736	0.2086424618
737	0.2085336975
738	0.2083684567
739	0.2082696235
740	0.208138492
741	0.2080242356
742	0.207876431
743	0.2077745457
744	0.2076855408
745	0.2074700571
746	0.207379892
747	0.2072324064
748	0.2071542056
749	0.2070156045
750	0.2069360256
751	0.2068237085
752	0.2067035563
753	0.206588169
754	0.2064443574
755	0.2063349083
756	0.206267088
757	0.2060212827
758	0.2059135123
759	0.2057859049
760	0.205639427
761	0.2055284522
762	0.2054340178
763	0.2052641592
764	0.2051128134
765	0.2050664639
766	0.2050069742
767	0.2048985079
768	0.2048064513
769	0.2046092581
770	0.2044835686
771	0.2043649438
772	0.2042645279
773	0.2041594696
774	0.2040454846
775	0.2038860276
776	0.2038263594
777	0.2037199654
778	0.2036076379
779	0.2034908585
780	0.2033750345
781	0.203190396
782	0.2031099356
783	0.2030253339
784	0.2028854241
785	0.2027488091
786	0.2026360069
787	0.2025368782
788	0.2024291968
789	0.2022711433
790	0.2021626373
791	0.2020435335
792	0.2018498081
793	0.2017780061
794	0.2017028854
795	0.2016222033
796	0.2014714877
797	0.2013062236
798	0.2012006783
799	0.2011158188
800	0.201003613
801	0.2008563436
802	0.2007406456
803	0.2006469286
804	0.2005599464
805	0.2004633473
806	0.2003412214
807	0.2002641149
808	0.2001558523
809	0.1999464416
810	0.1998124872
811	0.1997027791
812	0.1995265685
813	0.1994168972
814	0.199301575
815	0.1992057896
816	0.1991199316
817	0.1989878889
818	0.1988729635
819	0.1987314904
820	0.1985126693
821	0.1984007989
822	0.1983148382
823	0.1981778749
824	0.1980582926
825	0.197957229
826	0.1978343816
827	0.1977546153
828	0.1976445077
829	0.1975018674
830	0.197321963
831	0.1972271112
832	0.1971495712
833	0.1970266606
834	0.196923228
835	0.1968857847
836	0.1968030413
837	0.1967111852
838	0.1966211703
839	0.1964686297
840	0.1963732424
841	0.1962928636
842	0.1962343616
843	0.1960257739
844	0.1958112873
845	0.1957240531
846	0.195678896
847	0.1954756256
848	0.1953877023
849	0.195233741
850	0.1951591412
851	0.1950804438
852	0.1949954967
853	0.194822435
854	0.1946951884
855	0.1945457734
856	0.194456218
857	0.1943732874
858	0.1942979154
859	0.1942239636
860	0.1941266474
861	0.1939411844
862	0.1938611543
863	0.1938181237
864	0.19374487
865	0.1936277442
866	0.1935298998
867	0.1933894932
868	0.1932572004
869	0.1930648334
870	0.1929739411
871	0.192852316
872	0.1927571915
873	0.1925780572
874	0.1925257604
875	0.1924417094
876	0.1923175937
877	0.1921957577
878	0.1920538828
879	0.1919366197
880	0.1917677099
881	0.1916969614
882	0.1915486251
883	0.1914958663
884	0.1914064404
885	0.1913089511
886	0.1911237815
887	0.1910112774
888	0.1908955707
889	0.1908055263
890	0.190700809
891	0.1905707593
892	0.1903867956
893	0.190218198
894	0.1900869592
895	0.1899256619
896	0.1897859119
897	0.1896946395
898	0.1895927611
899	0.1895091207
900	0.1893847526
901	0.1892867227
902	0.1891847779
903	0.1891128465
904	0.1889530893
905	0.1887635652
906	0.1886284095
907	0.1885611913
908	0.1884639187
909	0.1883842955
910	0.1883412206
911	0.1882427827
912	0.1881437884
913	0.1880033824
914	0.1879028873
915	0.1877999953
916	0.1876548212
917	0.1875887683
918	0.187513126
919	0.1873602034
920	0.1872920496
921	0.187234616
922	0.187168727
923	0.1870845555
924	0.1869877183
925	0.1869151587
926	0.1867973776
927	0.1867311653
928	0.186684619
929	0.1866359862
930	0.1865311419
931	0.1864658659
932	0.1863851622
933	0.1861899693
934	0.186046509
935	0.1859393964
936	0.1858514832
937	0.1857369808
938	0.1856661889
939	0.1855508038
940	0.1854047334
941	0.1853247889
942	0.1852117657
943	0.185082561
944	0.1849712129
945	0.1847509873
946	0.1846836497
947	0.1845136795
948	0.1844234771
949	0.1842601244
950	0.1841667394
951	0.1840268321
952	0.1838974113
953	0.183791789
954	0.1836901588
955	0.1834867517
956	0.1833853398
957	0.1833211829
958	0.1831794071
959	0.1830704713
960	0.1829793876
961	0.1828658932
962	0.1827950641
963	0.1826741042
964	0.1826048421
965	0.1825237337
966	0.1823956263
967	0.1823200128
968	0.1822411658
969	0.1821696911
970	0.1820470546
971	0.181917232
972	0.1818667772
973	0.1817921765
974	0.1817030144
975	0.1816107338
976	0.1815375317
977	0.1813497239
978	0.1812600168
979	0.1812287286
980	0.1811625532
981	0.1810830161
982	0.1810132179
983	0.1809229085
984	0.1808439862
985	0.1808093683
986	0.180706754
987	0.180629431
988	0.180476214
989	0.1803428539
990	0.180214687
991	0.180133942
992	0.1800597658
993	0.179957179
994	0.1798818399
995	0.1797947172
996	0.179668491
997	0.1796350154
998	0.1794658819
999	0.17938772
