iter	Passed	Remaining
666	3518	1756
667	3524	1751
668	3529	1746
669	3534	1740
670	3540	1735
671	3545	1730
672	3551	1725
673	3557	1720
674	3562	1715
675	3568	1710
676	3574	1705
677	3580	1700
678	3586	1695
679	3591	1690
680	3595	1684
681	3601	1679
682	3607	1674
683	3612	1668
684	3617	1663
685	3623	1658
686	3629	1653
687	3635	1648
688	3641	1643
689	3649	1639
690	3655	1634
691	3661	1629
692	3667	1624
693	3673	1619
694	3679	1614
695	3683	1609
696	3688	1603
697	3693	1597
698	3698	1592
699	3705	1588
700	3712	1583
701	3719	1578
702	3725	1574
703	3733	1569
704	3740	1565
705	3746	1560
706	3753	1555
707	3759	1550
708	3767	1546
709	3774	1541
710	3781	1536
711	3787	1531
712	3794	1527
713	3801	1522
714	3808	1518
715	3814	1512
716	3821	1508
717	3827	1503
718	3833	1498
719	3839	1493
720	3846	1488
721	3853	1483
722	3858	1478
723	3865	1473
724	3873	1469
725	3879	1464
726	3886	1459
727	3893	1454
728	3901	1450
729	3907	1445
730	3912	1439
731	3918	1434
732	3926	1430
733	3933	1425
734	3938	1419
735	3943	1414
736	3951	1410
737	3960	1405
738	3967	1401
739	3973	1396
740	3979	1391
741	3986	1386
742	3992	1381
743	3999	1376
744	4005	1371
745	4012	1366
746	4018	1360
747	4025	1356
748	4031	1351
749	4037	1345
750	4043	1340
751	4049	1335
752	4055	1330
753	4062	1325
754	4068	1320
755	4073	1314
756	4080	1309
757	4086	1304
758	4092	1299
759	4099	1294
760	4104	1288
761	4110	1283
762	4116	1278
763	4122	1273
764	4129	1268
765	4136	1263
766	4142	1258
767	4147	1252
768	4153	1247
769	4160	1242
770	4166	1237
771	4172	1232
772	4177	1226
773	4184	1221
774	4191	1216
775	4196	1211
776	4203	1206
777	4210	1201
778	4216	1196
779	4222	1190
780	4227	1185
781	4233	1180
782	4239	1174
783	4245	1169
784	4250	1164
785	4257	1159
786	4263	1153
787	4272	1149
788	4278	1144
789	4284	1138
790	4290	1133
791	4296	1128
792	4302	1123
793	4308	1117
794	4314	1112
795	4321	1107
796	4326	1101
797	4330	1096
798	4337	1091
799	4342	1085
800	4347	1080
801	4355	1075
802	4360	1069
803	4365	1064
804	4371	1058
805	4376	1053
806	4382	1048
807	4388	1042
808	4393	1037
809	4401	1032
810	4406	1027
811	4412	1021
812	4419	1016
813	4425	1011
814	4430	1005
815	4437	1000
816	4442	995
817	4448	989
818	4453	984
819	4458	978
820	4466	973
821	4472	968
822	4479	963
823	4485	958
824	4491	952
825	4499	947
826	4504	942
827	4511	937
828	4518	932
829	4524	926
830	4531	921
831	4537	916
832	4543	910
833	4550	905
834	4556	900
835	4562	895
836	4567	889
837	4573	884
838	4579	878
839	4584	873
840	4590	867
841	4597	862
842	4603	857
843	4610	852
844	4616	846
845	4621	841
846	4627	835
847	4632	830
848	4637	824
849	4643	819
850	4648	813
851	4655	808
852	4662	803
853	4668	798
854	4676	793
855	4684	787
856	4692	782
857	4700	777
858	4710	773
859	4718	768
860	4725	762
861	4732	757
862	4743	752
863	4751	747
864	4760	742
865	4768	737
866	4776	732
867	4784	727
868	4794	722
869	4802	717
870	4808	712
871	4814	706
872	4820	701
873	4828	696
874	4836	690
875	4842	685
876	4851	680
877	4856	674
878	4863	669
879	4870	664
880	4877	658
881	4885	653
882	4895	648
883	4904	643
884	4914	638
885	4922	633
886	4933	628
887	4940	623
888	4949	617
889	4956	612
890	4964	607
891	4971	601
892	4978	596
893	4985	591
894	4993	585
895	5001	580
896	5010	575
897	5018	570
898	5026	564
899	5032	559
900	5039	553
901	5046	548
902	5054	542
903	5063	537
904	5072	532
905	5080	527
906	5091	522
907	5099	516
908	5110	511
909	5117	506
910	5123	500
911	5129	494
912	5137	489
913	5145	484
914	5152	478
915	5161	473
916	5168	467
917	5174	462
918	5181	456
919	5190	451
920	5198	445
921	5205	440
922	5213	434
923	5221	429
924	5228	423
925	5236	418
926	5243	412
927	5251	407
928	5258	401
929	5264	396
930	5272	390
931	5279	385
932	5285	379
933	5291	373
934	5299	368
935	5305	362
936	5312	357
937	5319	351
938	5325	345
939	5332	340
940	5339	334
941	5346	329
942	5352	323
943	5359	317
944	5367	312
945	5374	306
946	5381	301
947	5388	295
948	5395	289
949	5401	284
950	5408	278
951	5415	273
952	5420	267
953	5427	261
954	5433	256
955	5439	250
956	5446	244
957	5452	239
958	5460	233
959	5467	227
960	5474	222
961	5478	216
962	5485	210
963	5492	205
964	5498	199
965	5503	193
966	5509	188
967	5516	182
968	5524	176
969	5531	171
970	5538	165
971	5545	159
972	5551	154
973	5557	148
974	5564	142
975	5570	136
976	5577	131
977	5583	125
978	5591	119
979	5597	114
980	5605	108
981	5612	102
982	5618	97
983	5625	91
984	5632	85
985	5640	80
986	5648	74
987	5656	68
988	5665	63
989	5674	57
990	5683	51
991	5692	45
992	5697	40
993	5704	34
994	5711	28
995	5717	22
996	5725	17
997	5732	11
998	5740	5
999	5746	0
