iter	RMSE
0	0.5168628696
1	0.5086662002
2	0.4993445756
3	0.4913836519
4	0.4834937145
5	0.475850982
6	0.4691701966
7	0.4624489779
8	0.4551012229
9	0.4498905243
10	0.4443999695
11	0.4397759272
12	0.4350037049
13	0.4313068061
14	0.4266784441
15	0.4216683253
16	0.4174308046
17	0.413324966
18	0.4097250157
19	0.4056964147
20	0.4028744137
21	0.4003453357
22	0.396070723
23	0.3927747167
24	0.3897912451
25	0.3870086832
26	0.3848704305
27	0.3824091522
28	0.3799401447
29	0.3770963736
30	0.375040877
31	0.3731522438
32	0.3717370995
33	0.3696841849
34	0.3678380351
35	0.3660006916
36	0.3641010521
37	0.3623904892
38	0.3606657833
39	0.3588248636
40	0.357298297
41	0.3561169154
42	0.3547494371
43	0.353586028
44	0.35215373
45	0.3506184861
46	0.3497857568
47	0.3485289952
48	0.3472422027
49	0.3459448513
50	0.344710069
51	0.3440683594
52	0.3426831544
53	0.3414489986
54	0.3405829813
55	0.3396426642
56	0.3387230248
57	0.3379502015
58	0.3370602441
59	0.3363856074
60	0.33552311
61	0.3349502247
62	0.3342347718
63	0.3334981648
64	0.332906663
65	0.3322428423
66	0.3318852435
67	0.3309305842
68	0.3300065619
69	0.3292008933
70	0.3286393066
71	0.3280594477
72	0.326978787
73	0.3263121527
74	0.3257569966
75	0.3250706789
76	0.3244088739
77	0.3241100206
78	0.3233604108
79	0.3228245155
80	0.3223732124
81	0.3216479377
82	0.3212539655
83	0.3206996288
84	0.3202813453
85	0.3196574618
86	0.3191490193
87	0.3186921967
88	0.3183479685
89	0.318067328
90	0.3176865298
91	0.3174311812
92	0.3167875121
93	0.316430307
94	0.3156472773
95	0.3153127838
96	0.3150340086
97	0.3145378239
98	0.3140924827
99	0.3135617601
100	0.3133489653
101	0.3128845235
102	0.3126551557
103	0.3120235261
104	0.3115837974
105	0.3109985913
106	0.3106713106
107	0.310371596
108	0.3096363592
109	0.3091405054
110	0.3086469251
111	0.3082641731
112	0.3078299432
113	0.3070959863
114	0.3068564464
115	0.3064747357
116	0.3058946048
117	0.3054716779
118	0.3051080899
119	0.3049389451
120	0.3047724206
121	0.3044485211
122	0.3041340481
123	0.3037514659
124	0.3036698601
125	0.3033915529
126	0.3029094749
127	0.3024319771
128	0.3016169641
129	0.3009986904
130	0.3005111743
131	0.3001377696
132	0.2995671268
133	0.2991433506
134	0.2988572801
135	0.2983415117
136	0.2978830895
137	0.2976094937
138	0.2972666762
139	0.2967832079
140	0.2964805347
141	0.2960804968
142	0.2957622281
143	0.2954794523
144	0.2949875089
145	0.2946500266
146	0.2942225711
147	0.2938114281
148	0.2934089553
149	0.293122963
150	0.2925726471
151	0.2923268378
152	0.2918393009
153	0.2915537809
154	0.2913315505
155	0.2906383164
156	0.2903397001
157	0.2899318674
158	0.2894168449
159	0.289168461
160	0.2888212576
161	0.2883330355
162	0.288051585
163	0.2873150159
164	0.2868190141
165	0.2864209669
166	0.2860677173
167	0.2857445651
168	0.2848987161
169	0.2845714887
170	0.2840828482
171	0.2835590578
172	0.2829252974
173	0.2824826757
174	0.2822243359
175	0.2815290382
176	0.2812557503
177	0.2806202106
178	0.2801837444
179	0.2800390644
180	0.2795827667
181	0.2791695973
182	0.2785480543
183	0.2783216958
184	0.2779020659
185	0.2774701954
186	0.2769015638
187	0.2767468913
188	0.276349532
189	0.2758075263
190	0.275419364
191	0.2749336273
192	0.2745685933
193	0.2741041097
194	0.2736651171
195	0.273230076
196	0.2729519631
197	0.2725857293
198	0.2723102581
199	0.2719682196
200	0.2717159285
201	0.2713035864
202	0.2708117527
203	0.2706005544
204	0.2703895121
205	0.2700201908
206	0.2695643739
207	0.2693355418
208	0.2690475631
209	0.2684009242
210	0.2677680894
211	0.2673496348
212	0.2668151011
213	0.2664315606
214	0.2658251778
215	0.2654983602
216	0.2649578557
217	0.2648203098
218	0.264182693
219	0.2637832749
220	0.2633705362
221	0.2629929775
222	0.2626707947
